CONTROLE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Identifier,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110
Country,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,US,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,US,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH
City,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,WIN,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,NEW,TOR,TOR,TOR,TOR,TOR,TOR,TOR,RIC,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,OLO,GEN,IMU,NAG,OLO,TAG,BAC,MAL,IMU,PAR,TAG,GEN,MAL,TAG,SUB,DAS,DAS,VAL,TAG,OLO,,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,WIN,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,NEW,TOR,TOR,TOR,TOR,TOR,TOR,TOR,RIC,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,OLO,GEN,IMU,NAG,OLO,TAG,BAC,MAL,IMU,PAR,TAG,GEN,MAL,TAG,SUB,DAS,DAS,VAL,TAG,OLO
Quality / Stage of Data,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,0IARC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,0IFBP,0IFBP,00IFC,095DD,0IARC,0IARC,0IFBP,00IFT,00IFC,0IFBP,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,0IARC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,0IFBP,0IFBP,00IFC,095DD,0IARC,0IARC,0IFBP,00IFT,00IFC,0IFBP,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC,00IFC
Construction Date,2021,2021,2021,2021,2011,2011,2021,2021,2021,2021,2009,1917,2021,2021,2021,2021,1969,1969,2021,2021,2020,2021,2021,2021,2021,2021,2007,2021,2021,2021,2021,2021,2020,2020,2021,2021,2021,2020,2021,2017,2021,1913,2021,2021,2021,2021,2021,2016,2020,2021,1988,2018,2018,2017,2017,2016,2020,2020,2019,2021,2016,2025,2017,2018,2020,2020,2019,2021,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2019,2021,2021,2019,2021,2019,2021,2019,2021,2021,2021,2021,2021,,2021,2021,2021,2021,2011,2011,2021,2021,2021,2021,2009,1917,2021,2021,2021,2021,1969,1969,2021,2021,2020,2021,2021,2021,2021,2021,2007,2021,2021,2021,2021,2021,2020,2020,2021,2021,2021,2020,2021,2017,2021,1913,2021,2021,2021,2021,2021,2016,2020,2021,1988,2018,2018,2017,2017,2016,2020,2020,2019,2021,2016,2025,2017,2018,2020,2020,2019,2021,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2019,2021,2021,2019,2021,2019,2021,2019,2021,2021,2021,2021,2021
Building Type,SND,SND,SND,SND,OFF,APB,SND,SND,SND,SND,OFF,SMR,SND,SND,SND,SND,SNR,SNR,SND,SND,SND,SND,SND,SMD,SND,SND,OFF,SND,SND,SMD,SND,SND,SND,SMD,SND,SND,SND,SND,SND,EDU,SND,SNR,SND,SND,SND,SND,SND,EDU,SND,SND,INS,APB,MIX,APB,APB,APB,LNW,LNW,LNW,LNW,APB,MIX,APB,APB,TWN,MIX,LNW,LNW,LNW,LNW,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,,SND,SND,SND,SND,OFF,APB,SND,SND,SND,SND,OFF,SMR,SND,SND,SND,SND,SNR,SNR,SND,SND,SND,SND,SND,SMD,SND,SND,OFF,SND,SND,SMD,SND,SND,SND,SMD,SND,SND,SND,SND,SND,EDU,SND,SNR,SND,SND,SND,SND,SND,EDU,SND,SND,INS,APB,MIX,APB,APB,APB,LNW,LNW,LNW,LNW,APB,MIX,APB,APB,TWN,MIX,LNW,LNW,LNW,LNW,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND,SND
Gross Floor Area,521.18,389.24,411.64,269.56,"11,248.00","11,317.00",445.99,438.45,714.07,343.24,"73,083.00",199.93,226.89,611.73,343.44,613.38,413.72,333.49,178.38,323.8,837.56,587.86,568.21,234.73,294.84,496.77,"73,600.00",643.3,701.61,257.75,378.7,324.16,533.53,254.05,423.03,328.16,421.59,628.59,464.51,"8,983.00",346.14,161.08,891.97,525.61,502.87,379.18,549.65,"6,819.00",393.82,648.14,"21,934.00","53,146.02","33,975.25","69,784.00","39,409.04","53,871.00",137.23,144.92,83.1,234.79,"19,835.00","112,537.00","22,946.00","42,974.00","3,566.00","95,769.00",131,71,98,131,348.013,219.948,154.744,328.629,186.256,285.751,336.168,314.032,344.058,342.62,278.557,285.129,132.991,312.18,234.938,210.985,301.713,337.323,143.85,268.376,75.1511,59.9509,59.7427,24.05,169.925,74.5486,567.215,66.9,156.78,"1,214.66",147.66,65.9249,115.76,134.925,93.9429,100.415,50.3481,59.229,76.3721,137.412,,521.18,389.24,411.64,269.56,11248,11317,445.99,438.45,714.07,343.24,73083,199.93,226.89,611.73,343.44,613.38,413.72,333.49,178.38,323.8,837.56,587.86,568.21,234.73,294.84,496.77,73600,643.3,701.61,257.75,378.7,324.16,533.53,254.05,423.03,328.16,421.59,628.59,464.51,8983,346.14,161.08,891.97,525.61,502.87,379.18,549.65,6819,393.82,648.14,21934,53146.02,33975.25,69784,39409.04,53871,137.23,144.92,83.1,234.79,19835,112537,22946,42974,3566,95769,131,71,98,131,348.013,219.948,154.744,328.629,186.256,285.751,336.168,314.032,344.058,342.62,278.557,285.129,132.991,312.18,234.938,210.985,301.713,337.323,143.85,268.376,75.1511,59.9509,59.7427,24.05,169.925,74.5486,567.215,66.9,156.78,1214.66,147.66,65.9249,115.76,134.925,93.9429,100.415,50.3481,59.229,76.3721,137.412
000_A1010.10.000_03 31 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140955,,,,,,,,,,
000_A1010.10.0CF_03 21 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1284,,112.085,125.324,,,,40.6992,,,,50.8773,146.384,,104.181,198.617,,,18.4499,100.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1284,,112.085,125.324,,,,40.6992,,,,50.8773,146.384,,104.181,198.617,,,18.4499,100.744
000_A1010.10.0CF_03 31 00.00_kg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221.93,,7801.78,5390.14,10812.8,2095.52,,3344.4,8393.76,6009.47,3083.35,4579.68,10680.6,5249,6314.67,12098.1,5557.04,1276.37,1123.2,5910.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221.93,,7801.78,5390.14,10812.8,2095.52,,3344.4,8393.76,6009.47,3083.35,4579.68,10680.6,5249,6314.67,12098.1,5557.04,1276.37,1123.2,5910.56
